id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,1,39.1,18.7,181,3750,1,2007
2,1,1,39.5,17.4,186,3800,0,2007
3,1,1,40.3,18,195,3250,0,2007
5,1,1,36.7,19.3,193,3450,0,2007
6,1,1,39.3,20.6,190,3650,1,2007
7,1,1,38.9,17.8,181,3625,0,2007
8,1,1,39.2,19.6,195,4675,1,2007
13,1,1,41.1,17.6,182,3200,0,2007
14,1,1,38.6,21.2,191,3800,1,2007
15,1,1,34.6,21.1,198,4400,1,2007
16,1,1,36.6,17.8,185,3700,0,2007
17,1,1,38.7,19,195,3450,0,2007
18,1,1,42.5,20.7,197,4500,1,2007
19,1,1,34.4,18.4,184,3325,0,2007
20,1,1,46,21.5,194,4200,1,2007
21,1,2,37.8,18.3,174,3400,0,2007
22,1,2,37.7,18.7,180,3600,1,2007
23,1,2,35.9,19.2,189,3800,0,2007
24,1,2,38.2,18.1,185,3950,1,2007
25,1,2,38.8,17.2,180,3800,1,2007
26,1,2,35.3,18.9,187,3800,0,2007
27,1,2,40.6,18.6,183,3550,1,2007
28,1,2,40.5,17.9,187,3200,0,2007
29,1,2,37.9,18.6,172,3150,0,2007
30,1,2,40.5,18.9,180,3950,1,2007
31,1,3,39.5,16.7,178,3250,0,2007
32,1,3,37.2,18.1,178,3900,1,2007
33,1,3,39.5,17.8,188,3300,0,2007
34,1,3,40.9,18.9,184,3900,1,2007
35,1,3,36.4,17,195,3325,0,2007
36,1,3,39.2,21.1,196,4150,1,2007
37,1,3,38.8,20,190,3950,1,2007
38,1,3,42.2,18.5,180,3550,0,2007
39,1,3,37.6,19.3,181,3300,0,2007
40,1,3,39.8,19.1,184,4650,1,2007
41,1,3,36.5,18,182,3150,0,2007
42,1,3,40.8,18.4,195,3900,1,2007
43,1,3,36,18.5,186,3100,0,2007
44,1,3,44.1,19.7,196,4400,1,2007
45,1,3,37,16.9,185,3000,0,2007
46,1,3,39.6,18.8,190,4600,1,2007
47,1,3,41.1,19,182,3425,1,2007
49,1,3,36,17.9,190,3450,0,2007
50,1,3,42.3,21.2,191,4150,1,2007
51,1,2,39.6,17.7,186,3500,0,2008
